2025-04-18 18:04:26,860 INFO    Thread-99 :3808576 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_setup.py:_flush():68] Configure stats pid to 3808576
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_setup.py:_flush():68] Loading settings from /speech/shoutrik/.config/wandb/settings
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_setup.py:_flush():68] Loading settings from /speech/shoutrik/torch_exp/my_own/wandb/settings
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_init.py:_log_setup():528] Logging user logs to /speech/shoutrik/torch_exp/my_own/wandb/run-20250418_180426-3vchzygw/logs/debug.log
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_init.py:_log_setup():529] Logging internal logs to /speech/shoutrik/torch_exp/my_own/wandb/run-20250418_180426-3vchzygw/logs/debug-internal.log
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_init.py:init():644] calling init triggers
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_init.py:init():650] wandb.init called with sweep_config: {'batch_norm': False, 'batch_size': 256, 'conv_activation': 'ReLU', 'data_aug': False, 'dense_activation': 'ReLU', 'dense_size': 512, 'dropout_prob': 0.3, 'filter_size': [5, 5, 5, 5, 5], 'learning_rate': 0.0001, 'n_epochs': 10, 'n_filter': [64, 64, 64, 64, 64], 'num_layers': 5, 'optimizer': 'adam', 'weight_decay': 0, 'weight_init': 'kaiming'}
config: {}
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_init.py:init():680] starting backend
2025-04-18 18:04:26,861 INFO    Thread-99 :3808576 [wandb_init.py:init():684] sending inform_init request
2025-04-18 18:04:26,867 INFO    Thread-99 :3808576 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-18 18:04:26,867 INFO    Thread-99 :3808576 [wandb_init.py:init():697] backend started and connected
2025-04-18 18:04:26,868 INFO    Thread-99 :3808576 [wandb_run.py:_config_callback():1279] config_cb None None {'batch_norm': False, 'batch_size': 256, 'conv_activation': 'ReLU', 'data_aug': False, 'dense_activation': 'ReLU', 'dense_size': 512, 'dropout_prob': 0.3, 'filter_size': [5, 5, 5, 5, 5], 'learning_rate': 0.0001, 'n_epochs': 10, 'n_filter': [64, 64, 64, 64, 64], 'num_layers': 5, 'optimizer': 'adam', 'weight_decay': 0, 'weight_init': 'kaiming'}
2025-04-18 18:04:26,872 INFO    Thread-99 :3808576 [wandb_init.py:init():790] updated telemetry
2025-04-18 18:04:26,872 INFO    Thread-99 :3808576 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-04-18 18:04:27,452 INFO    Thread-99 :3808576 [wandb_init.py:init():874] starting run threads in backend
2025-04-18 18:04:27,556 INFO    Thread-99 :3808576 [wandb_run.py:_console_start():2374] atexit reg
2025-04-18 18:04:27,557 INFO    Thread-99 :3808576 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-04-18 18:04:27,557 INFO    Thread-99 :3808576 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-04-18 18:04:27,557 INFO    Thread-99 :3808576 [wandb_run.py:_redirect():2314] Redirects installed.
2025-04-18 18:04:27,557 INFO    Thread-99 :3808576 [wandb_init.py:init():916] run started, returning control to user process
2025-04-18 18:04:27,661 INFO    Thread-99 :3808576 [wandb_run.py:_finish():2100] finishing run ee22s084-indian-institute-of-technology-madras/DL_assignment_02/3vchzygw
2025-04-18 18:04:27,661 INFO    Thread-99 :3808576 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 1
2025-04-18 18:04:27,661 INFO    Thread-99 :3808576 [wandb_run.py:_restore():2321] restore
2025-04-18 18:04:27,661 INFO    Thread-99 :3808576 [wandb_run.py:_restore():2327] restore done
2025-04-18 18:04:30,784 INFO    Thread-99 :3808576 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2025-04-18 18:04:30,784 INFO    Thread-99 :3808576 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2025-04-18 18:04:30,788 INFO    Thread-99 :3808576 [wandb_run.py:_footer_sync_info():3853] logging synced files
