2025-04-19 01:21:09,502 INFO    Thread-26 :1324298 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_setup.py:_flush():68] Configure stats pid to 1324298
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_setup.py:_flush():68] Loading settings from /speech/shoutrik/.config/wandb/settings
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_setup.py:_flush():68] Loading settings from /speech/shoutrik/torch_exp/my_own/part2/wandb/settings
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_init.py:_log_setup():528] Logging user logs to /speech/shoutrik/torch_exp/my_own/part2/wandb/run-20250419_012109-fjlfyda1/logs/debug.log
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_init.py:_log_setup():529] Logging internal logs to /speech/shoutrik/torch_exp/my_own/part2/wandb/run-20250419_012109-fjlfyda1/logs/debug-internal.log
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_init.py:init():644] calling init triggers
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_init.py:init():650] wandb.init called with sweep_config: {'batch_size': 128, 'learning_rate': 0.0009276682710482576, 'weight_decay': 0.000657759080358929}
config: {}
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_init.py:init():680] starting backend
2025-04-19 01:21:09,503 INFO    Thread-26 :1324298 [wandb_init.py:init():684] sending inform_init request
2025-04-19 01:21:09,508 INFO    Thread-26 :1324298 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-19 01:21:09,509 INFO    Thread-26 :1324298 [wandb_init.py:init():697] backend started and connected
2025-04-19 01:21:09,510 INFO    Thread-26 :1324298 [wandb_run.py:_config_callback():1279] config_cb None None {'batch_size': 128, 'learning_rate': 0.0009276682710482576, 'weight_decay': 0.000657759080358929}
2025-04-19 01:21:09,513 INFO    Thread-26 :1324298 [wandb_init.py:init():790] updated telemetry
2025-04-19 01:21:09,514 INFO    Thread-26 :1324298 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-04-19 01:21:10,081 INFO    Thread-26 :1324298 [wandb_init.py:init():874] starting run threads in backend
2025-04-19 01:21:10,211 INFO    Thread-26 :1324298 [wandb_run.py:_console_start():2374] atexit reg
2025-04-19 01:21:10,211 INFO    Thread-26 :1324298 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-04-19 01:21:10,211 INFO    Thread-26 :1324298 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-04-19 01:21:10,212 INFO    Thread-26 :1324298 [wandb_run.py:_redirect():2314] Redirects installed.
2025-04-19 01:21:10,212 INFO    Thread-26 :1324298 [wandb_init.py:init():916] run started, returning control to user process
2025-04-19 01:24:19,319 INFO    Thread-26 :1324298 [wandb_run.py:_finish():2100] finishing run ee22s084-indian-institute-of-technology-madras/DL_assignment_02_part2/fjlfyda1
2025-04-19 01:24:19,319 INFO    Thread-26 :1324298 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 1
2025-04-19 01:24:19,319 INFO    Thread-26 :1324298 [wandb_run.py:_restore():2321] restore
2025-04-19 01:24:19,319 INFO    Thread-26 :1324298 [wandb_run.py:_restore():2327] restore done
2025-04-19 01:24:22,078 INFO    Thread-26 :1324298 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2025-04-19 01:24:22,079 INFO    Thread-26 :1324298 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2025-04-19 01:24:22,083 INFO    Thread-26 :1324298 [wandb_run.py:_footer_sync_info():3853] logging synced files
